Ah,V,A,S,D
-99.95032858469888,48.02793033484318,-420.27127301432074,8.537373752657752,4.268686876328876
-100.02077183920171,48.013004926237755,-426.4845630663599,7.9283282354220335,8.232850994039893
-99.94912196435912,48.162656081212916,-415.64591224068266,8.26363681033,12.364669399204892
-99.86853324161298,47.83122922451502,-416.28244664832704,8.127312359901595,16.42832557915569
-100.0511969738107,47.651265479520696,-423.37784264295607,8.581777684528689,20.719214421420034
-100.05814074111788,48.031364603219636,-416.4625639639732,8.646525071698997,25.042476957269532
-99.88375117295683,48.05624609844372,-418.1254615684961,8.824187159375494,29.454570536957277
-99.97187439067687,48.29791988188953,-426.40306072680556,8.560021787642413,33.73458143077848
-100.10251071127026,47.745927590734986,-424.2696445728568,8.479023772337653,37.97409331694731
-100.00825267740277,48.230938753343345,-414.3085927755521,9.327483257183747,42.63783494553918
-100.1157958601272,48.47348287280543,-418.45291907428975,7.645566241603961,46.46061806634116
-100.12297247528757,47.92444702249551,-422.82151472905315,9.262825071090806,51.09203060188656
-100.05914868185853,47.741811556101354,-424.2923794558632,8.277383489959874,55.2307223468665
-100.28161834256551,47.918605126725325,-422.5769689905771,8.715014474449127,59.58822958409107
-100.26972751043563,48.002800993474274,-422.22239764938854,8.2740130058009,63.725236086991515
-100.16040988919302,48.11275757500138,-424.22981516314627,8.09284611857531,67.77165914627918
-100.21240965738697,47.88172105403239,-428.7088205619165,8.69367953388128,72.11849891321981
-100.0866472211786,48.31103970682947,-414.29993356799605,8.97972900726304,76.60836341685133
-100.21581977107483,47.777093536998386,-415.1468316369428,8.702442651708843,80.95958474270576
-100.27319314274084,47.65215896956544,-426.3662772590343,8.202154502409822,85.06066199391067
-99.99234330479975,48.22134208485746,-419.31844352218167,10.286161043401226,90.20374251561128
-100.16843122082516,47.54507579375876,-424.5111910135738,9.087046352843934,94.74726569203325
-100.1460461793923,47.959174046225456,-421.30783611613265,8.96170405856651,99.22811772131651
-100.30221922756704,48.62353622584161,-421.7238328993683,8.32582405823798,103.3910297504355
-100.2211280904828,47.997591289408014,-422.13917107858936,8.196996419164433,107.48952796001771
-100.16254296814388,47.77584646986075,-409.98526457961856,8.376932782100672,111.67799435106805
-100.29567999394169,47.98852050724264,-422.20162842338095,9.064828460404645,116.21040858127037
-100.14995624344951,47.98983984227609,-424.0413191253346,8.036095743789677,120.22845645316521
-100.25453532336054,48.03212998807062,-423.81290714748525,8.00456857111251,124.23074073872147
-100.2305862384326,48.132452596431925,-414.7811152179912,8.815716672885225,128.63859907516408
-100.2685329337608,47.79217776632645,-428.2605116584647,8.712813387203994,132.99500576876608
-100.03007986317155,48.33750961104736,-423.8131145821776,8.175330488389193,137.08267101296067
-100.22360281318083,48.04902285687452,-412.76588579944234,8.02215738881267,141.093749707367
-100.33496959268723,48.14535880928036,-418.7800690600118,9.293979418084652,145.74073941640933
-100.15388941766591,47.87437012004887,-419.04038997481945,8.760804694585595,150.12114176370213
-100.36517368295793,48.257276427399106,-409.3392676992815,7.907805922223254,154.07504472481375
-100.22914836754494,47.948589518237384,-418.7682602352575,7.9500322642746495,158.05006085695106
-100.452947148518,48.05551050269871,-423.5409308067979,8.423360024857306,162.2617408693797
-100.39674415010447,47.81337878456258,-421.41038528438173,8.97780768834761,166.75064471355353
-100.2511848307123,47.80061367471957,-425.67716154515284,8.916161749130147,171.2087255881186
-100.20396970538427,48.13764106129058,-413.72031479992154,9.191766963726403,175.8046090699818
-100.26762494434941,47.911278633958524,-417.12719141231645,7.888022917029532,179.7486205284966
-100.30327200979181,47.82923538249913,-414.37792925014554,8.752391064030187,184.12481606051168
-100.32876296019651,47.871363331594594,-413.9350803572531,9.36069255098988,188.80516233600662
-100.45345019875893,48.13979061434348,-422.07105390463767,9.321407677526796,193.46586617477
-100.38452782964625,47.874192427759276,-424.72376426004445,8.841730986687821,197.88673166811392
-100.36555269498734,47.97646901367957,-420.25856555654025,9.843554184696995,202.80850876046242
-100.22072200435407,48.003005550057416,-424.36380535394267,8.981456168125261,207.29923684452504
-100.29901780710372,47.61653022279794,-419.17521562295485,9.205455345507023,211.90196451727854
-100.51662906068144,47.7057747189253,-414.3395155958265,8.713574141728113,216.2587515881426
-100.31486205729028,48.067255577849515,-420.84069823024583,8.308130417720662,220.4128167970029
-100.39272409135599,47.85259412776946,-419.2500245504613,8.268281068567969,224.54695733128688
-100.42885347242954,48.21134498225609,-420.46922808111685,8.803960598645043,228.9489376306094
-100.30693905259945,48.19336142085011,-415.9863621378115,8.614669022053258,233.25627214163603
-100.27195213831854,48.14383373327109,-423.33891197144146,7.843393931156484,237.17796910721427
-100.28886948774111,48.36395435746252,-430.9822313082155,8.222056415154077,241.28899731479132
-100.47286466105959,47.98338213445136,-417.6456557031231,8.583017557427233,245.58050609350494
